Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,2458,1,2017-04-03,HOU,,SEA,W 3-0,CG,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0.59,-0.044,0.63,-0.03%,-0.76,5,DH
2,2459,2,2017-04-04,HOU,,SEA,W 2-1,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0.81,-0.063,0.90,-0.04%,-0.62,5,LF
3,2460,3,2017-04-05,HOU,,SEA,W 5-3 (13),CG(13),6,6,0,2,0,0,0,0,0,0,0,1,.167,.167,.167,.333,2,1,0,0,0,0,1.77,-0.073,2.06,-0.05%,-0.35,5,DH
4,2461,4,2017-04-06,HOU,,SEA,L 2-4,GS-8,4,4,0,1,0,0,0,0,0,0,0,1,.188,.188,.188,.375,1,0,0,0,0,0,1.19,-0.072,1.45,-0.05%,-0.98,5,DH
5,2462,5,2017-04-07,HOU,,KCR,L 1-5,CG,4,4,0,2,1,0,0,1,0,0,0,0,.250,.250,.300,.550,3,0,0,0,0,0,1.11,0.212,1.13,0.13%,1.18,5,DH
6,2463,6,2017-04-08,HOU,,KCR,L 3-7,CG,4,4,1,2,1,0,0,0,0,0,0,2,.292,.292,.375,.667,3,0,0,0,0,0,0.65,0.005,0.68,0.00%,0.92,5,DH
7,2464,7,2017-04-09,HOU,,KCR,W 5-4 (12),7-8,1,1,0,0,0,0,0,0,0,0,0,0,.280,.280,.360,.640,0,0,0,0,0,0,1.15,-0.028,1.09,-0.02%,-0.16,9,PH
8,2465,8,2017-04-10,HOU,@,SEA,L 0-6,CG,4,4,0,1,0,0,0,0,0,0,0,1,.276,.276,.345,.621,1,0,0,0,0,0,1.17,-0.092,1.29,-0.06%,-1.19,5,DH
9,2466,9,2017-04-11,HOU,@,SEA,W 7-5,CG,5,5,0,2,0,0,0,1,0,0,0,1,.294,.294,.353,.647,2,0,0,0,0,0,0.69,0.008,0.72,0.01%,0.70,5,DH
10,2467,10,2017-04-12,HOU,@,SEA,W 10-5,CG,5,5,0,2,1,0,0,3,0,0,0,1,.308,.308,.385,.692,3,0,0,0,0,0,1.76,0.017,1.95,0.01%,1.41,5,DH
11,2468,11,2017-04-14,HOU,@,OAK,W 7-2,CG,5,4,0,1,0,0,0,0,0,0,1,1,.302,.318,.372,.690,1,0,0,0,0,0,0.96,0.013,1.18,0.01%,-0.08,5,DH
12,2469,12,2017-04-15,HOU,@,OAK,W 10-6,GS-8,4,3,0,0,0,0,0,0,0,0,1,2,.283,.313,.348,.660,0,0,0,0,0,0,1.71,-0.033,2.22,-0.03%,-0.80,5,DH
13,2470,13,2017-04-17,HOU,,LAA,W 3-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.260,.288,.320,.608,0,0,0,0,0,0,0.58,-0.050,0.78,-0.04%,-0.83,4,DH
14,2471,14,2017-04-18,HOU,,LAA,L 2-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,.259,.286,.315,.601,1,1,0,0,0,0,0.90,-0.068,1.21,-0.06%,-0.72,4,DH
15,2472,16,2017-04-20,HOU,,LAA,W 2-1,GS-9,4,4,1,1,0,0,1,1,0,0,0,1,.259,.283,.362,.645,4,0,0,0,0,0,0.46,0.072,0.63,0.06%,0.50,2,LF
16,2473,17,2017-04-21,HOU,@,TBR,W 6-3,CG,4,4,2,2,0,0,1,1,0,0,0,1,.274,.297,.419,.716,5,0,0,0,0,0,0.95,0.062,1.18,0.05%,0.60,5,DH
17,2474,18,2017-04-22,HOU,@,TBR,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,.258,.279,.394,.673,0,0,0,0,0,0,0.78,-0.083,0.94,-0.06%,-0.92,2,DH
18,2475,19,2017-04-23,HOU,@,TBR,W 6-4 (10),CG(10),5,4,2,1,0,0,0,0,0,0,1,1,.257,.288,.386,.673,1,0,0,0,0,0,1.16,0.020,1.39,0.02%,0.09,2,LF DH
19,2476,20,2017-04-25,HOU,@,CLE,W 4-2,GS-7,4,4,0,0,0,0,0,0,0,0,0,2,.243,.273,.365,.638,0,0,0,0,0,0,0.96,-0.116,1.19,-0.09%,-1.30,2,LF
20,2477,21,2017-04-26,HOU,@,CLE,L 6-7,CG,5,4,0,0,0,0,0,0,0,0,0,2,.231,.268,.346,.614,0,0,1,0,0,0,1.60,-0.072,1.99,-0.05%,-0.36,2,LF
21,2478,22,2017-04-27,HOU,@,CLE,L 3-4,9-GF,1,1,0,1,0,0,0,0,0,0,0,0,.241,.277,.354,.632,1,0,0,0,0,0,3.94,0.198,5.03,0.15%,0.67,2,PH
22,2479,23,2017-04-28,HOU,,OAK,W 9-4,CG,5,5,2,1,0,0,0,1,0,0,0,0,.238,.273,.345,.618,1,1,0,0,0,0,0.99,0.007,1.37,0.01%,-0.18,5,DH
23,2480,24,2017-04-29,HOU,,OAK,L 1-2,GS-9,4,3,0,1,0,0,0,0,0,0,0,1,.241,.283,.345,.627,1,0,1,0,0,0,1.94,0.097,2.69,0.08%,0.01,5,LF
24,2481,26,2017-05-01,HOU,,TEX,W 6-2,CG,4,4,0,0,0,0,0,0,0,0,0,3,.231,.271,.330,.601,0,0,0,0,0,0,1.21,-0.125,1.71,-0.11%,-1.40,5,DH
25,2482,27,2017-05-02,HOU,,TEX,W 8-7,CG,5,5,2,3,1,0,0,0,0,0,0,2,.250,.287,.354,.641,4,0,0,0,0,0,0.84,0.147,1.16,0.12%,0.68,2,DH
26,2483,28,2017-05-03,HOU,,TEX,W 10-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.240,.276,.340,.616,0,0,0,0,0,0,0.38,-0.043,0.53,-0.04%,-0.30,5,DH
27,2484,29,2017-05-04,HOU,,TEX,L 4-10,6-GF,3,2,0,1,0,0,0,1,0,0,0,1,.245,.278,.343,.621,1,0,0,0,1,0,2.81,-0.172,3.83,-0.14%,-0.72,9,PH LF
28,2485,30,2017-05-05,HOU,@,LAA,W 7-6 (10),CG(10),5,5,2,2,2,0,0,0,0,0,0,2,.252,.283,.364,.648,4,0,0,0,0,0,1.07,0.148,1.62,0.14%,1.09,5,DH
29,2486,31,2017-05-06,HOU,@,LAA,L 1-2,CG,4,4,0,1,1,0,0,1,0,0,0,1,.252,.282,.369,.651,2,0,0,0,0,0,1.23,0.002,1.87,0.00%,0.35,4,DH
30,2487,32,2017-05-07,HOU,@,LAA,W 5-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.243,.273,.357,.629,0,0,0,0,0,0,0.74,-0.073,1.11,-0.07%,-0.81,5,DH
31,2488,33,2017-05-09,HOU,,ATL,W 8-3,CG,4,4,2,2,1,0,1,1,0,0,0,2,.252,.280,.395,.675,6,0,0,0,0,0,0.20,0.061,0.25,0.05%,1.42,5,DH
32,2489,34,2017-05-10,HOU,,ATL,W 4-2,CG,4,2,1,1,0,0,0,0,0,0,2,1,.256,.295,.397,.691,1,0,0,0,0,0,0.69,0.027,0.87,0.02%,0.46,2,DH
33,2490,35,2017-05-11,HOU,@,NYY,W 3-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.248,.286,.384,.670,0,0,0,0,0,0,0.74,-0.078,0.93,-0.06%,-1.13,5,DH
34,2491,36,2017-05-12,HOU,@,NYY,W 5-1,GS-7,4,4,0,1,0,0,0,0,0,0,0,0,.248,.285,.380,.665,1,0,0,0,0,0,0.55,-0.023,0.67,-0.02%,-0.54,2,RF
35,2492,38,2017-05-14 (2),HOU,@,NYY,W 10-7,CG,5,5,1,2,1,0,0,1,0,0,0,1,.254,.289,.388,.677,3,0,0,0,0,0,0.28,0.064,0.34,0.05%,0.90,5,DH
36,2493,40,2017-05-16,HOU,@,MIA,W 12-2,GS-6,4,3,1,0,0,0,0,0,0,0,1,0,.248,.288,.380,.667,0,0,0,0,0,0,0.49,-0.025,0.55,-0.02%,-0.54,2,LF
37,2494,42,2017-05-19,HOU,,CLE,L 3-5,CG,4,4,0,1,0,0,0,1,0,0,0,1,.248,.287,.376,.663,1,0,0,0,0,0,1.23,0.018,1.37,0.01%,0.50,5,DH
38,2495,43,2017-05-20,HOU,,CLE,L 0-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.243,.281,.368,.649,0,0,0,0,0,0,1.14,-0.088,1.31,-0.06%,-0.70,5,DH
39,2496,44,2017-05-21,HOU,,CLE,L 6-8,CG,4,2,2,1,0,0,1,1,0,0,2,0,.247,.293,.390,.683,4,0,0,0,0,0,0.34,0.105,0.40,0.07%,1.23,5,DH
40,2497,45,2017-05-22,HOU,,DET,W 1-0,CG,4,4,0,1,1,0,0,0,0,0,0,1,.247,.292,.393,.685,2,0,0,0,0,0,0.73,-0.053,0.93,-0.04%,-0.54,5,DH
41,2498,46,2017-05-23,HOU,,DET,W 6-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.240,.285,.383,.668,0,0,0,0,0,0,0.79,-0.078,0.95,-0.06%,-1.16,4,DH
42,2499,47,2017-05-24,HOU,,DET,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.234,.278,.373,.652,0,0,0,0,0,0,1.33,-0.146,1.51,-0.10%,-1.43,5,DH
43,2500,49,2017-05-26,HOU,,BAL,W 2-0,CG,4,4,1,1,0,0,1,1,0,0,0,0,.235,.277,.389,.666,4,0,0,0,0,0,0.81,0.020,0.93,0.01%,-1.27,6,DH
44,2501,51,2017-05-28,HOU,,BAL,W 8-4,CG,4,3,1,1,1,0,0,0,0,0,1,0,.236,.282,.394,.676,2,0,0,0,0,0,0.54,0.085,0.56,0.05%,0.84,5,DH
