Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,50,1,2017-04-03,HOU,,SEA,W 3-0,CG,4,3,1,1,0,0,0,0,1,0,1,0,.333,.500,.333,.833,1,0,0,0,0,0,0.86,0.028,0.92,0.02%,0.35,2,3B
2,51,2,2017-04-04,HOU,,SEA,W 2-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.143,.250,.143,.393,0,1,0,0,0,0,0.85,-0.122,0.95,-0.08%,-1.27,2,3B
3,52,3,2017-04-05,HOU,,SEA,W 5-3 (13),CG(13),6,5,0,1,1,0,0,0,0,0,1,1,.167,.286,.250,.536,2,0,0,0,0,0,1.87,-0.089,2.19,-0.06%,0.12,2,3B
4,53,4,2017-04-06,HOU,,SEA,L 2-4,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.167,.286,.250,.536,0,,0,0,,,,,,,,5,PR DH
5,54,5,2017-04-07,HOU,,KCR,L 1-5,CG,4,3,0,1,0,0,0,0,0,0,1,1,.200,.333,.267,.600,1,0,0,0,0,0,0.81,-0.025,0.82,-0.02%,-0.13,2,3B
6,55,6,2017-04-08,HOU,,KCR,L 3-7,CG,4,4,0,1,0,0,0,0,0,0,0,0,.211,.318,.263,.581,1,1,0,0,0,0,0.61,-0.059,0.64,-0.04%,-0.79,2,3B
7,56,7,2017-04-09,HOU,,KCR,W 5-4 (12),CG(12),6,5,0,0,0,0,0,0,0,0,0,1,.167,.259,.208,.468,0,0,0,1,0,0,1.50,-0.160,1.42,-0.09%,-1.11,2,3B
8,57,8,2017-04-10,HOU,@,SEA,L 0-6,CG,4,4,0,1,0,0,0,0,0,0,0,2,.179,.258,.214,.472,1,0,0,0,0,0,0.55,-0.042,0.61,-0.03%,0.03,2,3B
9,58,9,2017-04-11,HOU,@,SEA,W 7-5,CG,5,5,0,2,0,0,0,1,0,0,0,3,.212,.278,.242,.520,2,0,0,0,0,0,1.20,0.013,1.25,0.01%,0.17,2,3B
10,59,10,2017-04-12,HOU,@,SEA,W 10-5,CG,5,4,0,2,1,0,0,1,0,0,1,1,.243,.317,.297,.614,3,0,0,0,0,0,1.58,0.136,1.75,0.09%,0.36,6,3B
