Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,253,1,2017-04-03,HOU,,SEA,W 3-0,CG,3,2,1,1,0,0,1,2,0,0,0,0,.500,.333,2.000,2.333,4,0,0,0,1,0,0.85,0.041,0.91,0.03%,0.00,4,SS
2,254,2,2017-04-04,HOU,,SEA,W 2-1,CG,3,2,0,0,0,0,0,0,0,0,1,1,.250,.333,1.000,1.333,0,0,0,0,0,0,0.74,-0.031,0.83,-0.02%,-0.34,4,SS
3,255,3,2017-04-05,HOU,,SEA,W 5-3 (13),CG(13),6,6,0,2,0,0,0,0,0,0,0,1,.300,.333,.600,.933,2,0,0,0,0,0,1.88,-0.085,2.19,-0.06%,-0.85,4,SS
4,256,4,2017-04-06,HOU,,SEA,L 2-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.231,.313,.462,.774,0,0,0,0,0,1,1.22,-0.062,1.49,-0.05%,-0.44,4,SS
5,257,5,2017-04-07,HOU,,KCR,L 1-5,CG,4,4,1,1,0,0,0,0,0,0,0,0,.235,.300,.412,.712,1,0,0,0,0,0,1.04,0.001,1.06,0.00%,-0.32,4,SS
6,258,6,2017-04-08,HOU,,KCR,L 3-7,CG,4,3,1,0,0,0,0,0,0,0,1,0,.200,.292,.350,.642,0,0,0,0,0,0,0.58,-0.022,0.60,-0.01%,-0.31,4,SS
7,259,7,2017-04-09,HOU,,KCR,W 5-4 (12),CG(12),6,5,0,2,0,0,0,0,0,0,0,0,.240,.333,.360,.693,2,0,1,0,0,0,2.34,-0.079,2.23,-0.05%,-0.25,4,SS
8,260,8,2017-04-10,HOU,@,SEA,L 0-6,CG,4,4,0,3,0,0,0,0,0,0,0,1,.310,.382,.414,.796,3,0,0,0,0,0,0.76,0.062,0.83,0.04%,0.17,4,SS
9,261,9,2017-04-11,HOU,@,SEA,W 7-5,CG,5,5,0,0,0,0,0,0,0,0,0,2,.265,.333,.353,.686,0,0,0,0,0,0,0.76,-0.105,0.79,-0.07%,-1.66,4,SS
10,262,10,2017-04-12,HOU,@,SEA,W 10-5,CG,5,5,1,2,0,0,0,1,0,0,0,1,.282,.341,.359,.700,2,0,0,0,0,0,2.02,0.254,2.25,0.17%,1.50,4,SS
11,263,11,2017-04-14,HOU,@,OAK,W 7-2,CG,5,5,2,0,0,0,0,0,0,0,0,0,.250,.306,.318,.624,0,0,0,0,0,0,1.10,0.020,1.35,0.02%,1.11,4,SS
12,264,12,2017-04-15,HOU,@,OAK,W 10-6,GS-9,5,3,0,0,0,0,0,0,0,0,1,2,.234,.315,.298,.613,0,0,1,0,0,0,1.43,0.020,1.85,0.02%,1.28,4,SS
13,265,16,2017-04-20,HOU,,LAA,W 2-1,CG,3,2,0,0,0,0,0,0,0,0,1,1,.224,.316,.286,.602,0,0,0,0,0,0,0.48,-0.023,0.66,-0.02%,-0.21,4,SS
14,266,17,2017-04-21,HOU,@,TBR,W 6-3,CG,4,3,0,0,0,0,0,0,0,0,1,2,.212,.311,.269,.581,0,0,0,0,0,0,1.02,-0.050,1.27,-0.04%,-0.34,4,SS
15,267,18,2017-04-22,HOU,@,TBR,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,.196,.292,.250,.542,0,0,0,0,0,0,1.13,-0.110,1.37,-0.08%,-1.08,4,SS
16,268,19,2017-04-23,HOU,@,TBR,W 6-4 (10),CG(10),5,5,1,1,0,0,1,2,0,0,0,0,.197,.286,.295,.581,4,1,0,0,0,0,1.79,-0.103,2.15,-0.07%,0.43,4,SS
17,269,20,2017-04-25,HOU,@,CLE,W 4-2,CG,4,4,0,2,0,0,0,0,0,0,0,1,.215,.297,.308,.605,2,0,0,0,0,0,0.90,0.029,1.10,0.02%,0.62,4,SS
18,270,21,2017-04-26,HOU,@,CLE,L 6-7,CG,5,4,2,1,1,0,0,0,0,0,1,3,.217,.304,.319,.623,2,0,0,0,0,0,1.63,-0.061,2.03,-0.05%,-0.09,3,SS
19,271,22,2017-04-27,HOU,@,CLE,L 3-4,CG,5,4,1,1,1,0,0,0,0,0,1,2,.219,.310,.329,.638,2,0,0,0,0,0,1.80,-0.203,2.30,-0.16%,-0.79,3,SS
20,272,23,2017-04-28,HOU,,OAK,W 9-4,CG,5,5,0,2,1,0,0,2,0,0,0,2,.231,.315,.346,.661,3,0,0,0,0,0,0.91,-0.050,1.26,-0.04%,0.94,4,SS
21,273,24,2017-04-29,HOU,,OAK,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.220,.301,.329,.630,0,0,0,0,0,0,1.54,-0.195,2.14,-0.16%,-1.57,4,SS
22,274,25,2017-04-30,HOU,,OAK,W 7-2,CG,4,4,1,2,1,0,0,1,0,0,0,1,.233,.309,.349,.658,3,0,0,0,0,0,0.58,0.061,0.81,0.05%,0.65,4,SS
23,275,26,2017-05-01,HOU,,TEX,W 6-2,CG,4,3,1,1,1,0,0,2,0,0,1,0,.236,.317,.360,.676,2,0,0,0,0,0,0.95,0.239,1.34,0.20%,2.73,4,SS
24,276,27,2017-05-02,HOU,,TEX,W 8-7,CG,4,4,0,0,0,0,0,0,0,0,0,1,.226,.305,.344,.649,0,0,0,0,0,0,1.91,-0.196,2.64,-0.16%,-1.28,4,SS
25,277,28,2017-05-03,HOU,,TEX,W 10-1,CG,5,5,1,4,1,0,1,1,0,0,0,1,.255,.327,.408,.735,8,0,0,0,0,0,0.27,0.134,0.37,0.11%,2.03,4,SS
26,278,29,2017-05-04,HOU,,TEX,L 4-10,CG,5,4,2,2,1,0,0,0,0,0,1,0,.265,.339,.422,.761,3,0,0,0,0,0,0.84,0.102,1.15,0.08%,0.82,3,SS
27,279,30,2017-05-05,HOU,@,LAA,W 7-6 (10),CG(10),5,5,1,2,0,0,0,1,0,0,0,1,.271,.342,.421,.762,2,0,0,0,0,0,1.48,0.366,2.26,0.33%,0.71,4,SS
28,280,31,2017-05-06,HOU,@,LAA,L 1-2,CG,4,4,1,1,1,0,0,0,0,0,0,0,.270,.339,.423,.762,2,1,0,0,0,0,1.29,-0.193,1.96,-0.18%,-1.33,3,SS
29,281,32,2017-05-07,HOU,@,LAA,W 5-3,CG,4,3,0,0,0,0,0,0,0,0,1,0,.263,.336,.412,.748,0,0,0,0,0,0,0.61,-0.016,0.92,-0.02%,-0.25,4,SS
30,282,33,2017-05-09,HOU,,ATL,W 8-3,CG,4,4,1,1,0,0,1,3,0,0,0,0,.263,.333,.432,.766,4,0,0,0,0,0,0.44,0.138,0.56,0.11%,1.59,4,SS
31,283,34,2017-05-10,HOU,,ATL,W 4-2,CG,4,3,1,2,2,0,0,2,0,0,1,0,.273,.346,.455,.800,4,0,0,0,0,0,1.22,0.332,1.54,0.25%,2.25,4,SS
32,284,35,2017-05-11,HOU,@,NYY,W 3-2,CG,4,3,1,2,0,0,1,2,0,0,1,0,.282,.357,.484,.841,5,0,0,0,0,0,0.74,0.167,0.92,0.13%,1.86,4,SS
33,285,36,2017-05-12,HOU,@,NYY,W 5-1,CG,5,5,1,2,0,0,0,1,0,0,0,2,.287,.359,.481,.839,2,0,0,0,0,0,0.78,0.057,0.95,0.04%,0.18,4,SS
34,286,37,2017-05-14 (1),HOU,@,NYY,L 6-11,CG,5,4,1,1,0,0,0,1,0,0,1,1,.286,.360,.474,.834,1,0,0,0,0,0,1.51,0.041,1.83,0.03%,0.45,4,SS
35,287,38,2017-05-14 (2),HOU,@,NYY,W 10-7,CG,5,3,2,2,0,0,0,1,0,0,1,0,.294,.368,.478,.846,2,0,0,0,1,0,0.15,0.020,0.18,0.02%,0.32,4,SS
36,288,39,2017-05-15,HOU,@,MIA,W 7-2,CG,5,3,1,0,0,0,0,0,0,0,2,2,.288,.369,.468,.836,0,0,0,0,0,1,0.72,-0.014,0.85,-0.01%,-0.11,4,SS
37,289,40,2017-05-16,HOU,@,MIA,W 12-2,CG,5,4,2,2,0,0,0,1,0,0,1,2,.294,.376,.469,.844,2,0,0,0,0,0,0.71,0.122,0.80,0.08%,1.41,4,SS
38,290,42,2017-05-19,HOU,,CLE,L 3-5,CG,4,3,1,1,0,0,1,1,0,0,1,1,.295,.379,.486,.865,4,0,0,0,0,0,0.71,0.125,0.79,0.08%,0.94,4,SS
39,291,43,2017-05-20,HOU,,CLE,L 0-3,CG,3,2,0,0,0,0,0,0,0,0,1,0,.291,.378,.480,.858,0,1,0,0,0,0,1.55,-0.132,1.78,-0.09%,-0.81,4,SS
40,292,44,2017-05-21,HOU,,CLE,L 6-8,CG,4,4,0,0,0,0,0,0,0,0,0,2,.283,.369,.467,.836,0,0,0,0,0,0,0.50,-0.051,0.59,-0.04%,-0.86,4,SS
41,293,45,2017-05-22,HOU,,DET,W 1-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.276,.361,.455,.816,0,0,0,0,0,0,0.95,-0.095,1.21,-0.07%,-1.15,4,SS
42,294,48,2017-05-25,HOU,,DET,W 7-6,CG,4,4,1,3,0,0,1,2,0,0,0,0,.288,.370,.481,.851,6,0,0,0,0,0,0.97,0.208,1.14,0.15%,1.97,4,SS
43,295,49,2017-05-26,HOU,,BAL,W 2-0,CG,4,4,0,2,1,0,0,0,0,0,0,0,.293,.372,.488,.860,3,0,0,0,0,0,0.95,-0.020,1.08,-0.01%,0.17,4,SS
44,296,50,2017-05-27,HOU,,BAL,W 5-2,CG,4,4,0,2,0,0,0,1,0,0,0,0,.298,.375,.488,.863,2,0,0,0,0,0,0.83,-0.026,0.90,-0.02%,-0.13,3,SS
45,297,51,2017-05-28,HOU,,BAL,W 8-4,CG,4,4,1,2,0,0,0,0,0,0,0,0,.302,.378,.488,.866,2,0,0,0,0,0,0.71,0.072,0.73,0.04%,0.54,4,SS
46,298,52,2017-05-29,HOU,@,MIN,W 16-8,CG,6,5,3,3,1,0,1,3,0,0,1,0,.311,.386,.514,.900,7,0,0,0,0,0,0.48,0.153,0.45,0.09%,2.36,4,SS
47,299,53,2017-05-30,HOU,@,MIN,W 7-2,CG,5,4,0,1,0,0,0,1,0,0,1,2,.309,.386,.508,.895,1,0,0,0,0,0,1.00,0.006,0.87,0.00%,0.48,4,SS
48,300,54,2017-05-31,HOU,@,MIN,W 17-6,CG,6,6,2,3,0,0,1,3,0,0,0,1,.316,.390,.524,.914,6,0,0,0,0,0,0.67,0.264,0.55,0.13%,2.21,3,SS
49,301,55,2017-06-02,HOU,@,TEX,W 7-1,CG,5,5,1,1,0,0,1,3,0,0,0,3,.313,.385,.531,.917,4,0,0,0,0,0,1.14,0.198,0.97,0.10%,1.32,4,SS
50,302,56,2017-06-03,HOU,@,TEX,W 6-5,CG,5,5,1,1,0,0,0,1,0,0,0,2,.310,.381,.523,.904,1,0,0,0,0,0,1.05,0.051,0.74,0.02%,0.42,4,SS
51,303,57,2017-06-04,HOU,@,TEX,W 7-2,CG,5,3,1,2,0,0,1,1,0,0,2,0,.315,.390,.540,.930,5,0,0,0,0,0,0.27,0.055,0.18,0.02%,1.45,3,SS
52,304,58,2017-06-05,HOU,@,KCR,W 7-3,CG,4,3,0,0,0,0,0,0,0,0,1,1,.310,.388,.532,.920,0,0,0,0,0,0,1.00,-0.091,0.49,-0.03%,-0.89,4,SS
53,305,59,2017-06-06,HOU,@,KCR,L 7-9,CG,5,4,1,1,0,0,0,0,0,0,1,1,.309,.388,.527,.915,1,0,0,0,0,0,0.62,0.112,0.28,0.03%,1.02,4,SS
54,306,60,2017-06-07,HOU,@,KCR,L 5-7,CG,5,5,0,0,0,0,0,0,0,0,0,3,.302,.380,.514,.894,0,0,0,0,0,0,1.13,-0.167,0.62,-0.06%,-1.85,4,SS
55,307,61,2017-06-08,HOU,@,KCR,W 6-1,CG,4,4,1,1,0,1,0,0,0,0,0,1,.301,.378,.519,.897,3,0,0,0,0,0,0.85,-0.047,0.48,-0.02%,0.17,4,SS
56,308,62,2017-06-09,HOU,,LAA,L 4-9,CG,4,4,0,0,0,0,0,0,0,0,0,1,.295,.372,.509,.881,0,0,0,0,0,0,0.60,-0.060,0.38,-0.02%,-0.68,3,SS
57,309,63,2017-06-10,HOU,,LAA,W 3-1,CG,4,4,0,1,0,0,0,1,0,0,0,1,.295,.370,.504,.875,1,2,0,0,0,0,1.10,-0.081,0.81,-0.04%,-0.84,4,SS
58,310,65,2017-06-12,HOU,,TEX,L 1-6,CG,4,4,0,1,1,0,0,0,0,0,0,2,.294,.368,.504,.873,2,0,0,0,0,0,0.71,-0.060,0.50,-0.03%,0.06,4,SS
59,311,66,2017-06-13,HOU,,TEX,L 2-4,CG,4,4,1,1,0,0,1,1,0,0,0,0,.293,.366,.513,.879,4,0,0,0,0,0,1.08,0.014,0.84,0.01%,0.43,4,SS
60,312,67,2017-06-14,HOU,,TEX,W 13-2,CG,5,4,2,2,0,0,0,1,0,0,1,1,.297,.371,.513,.884,2,0,0,0,0,0,0.72,0.146,0.68,0.08%,2.46,3,SS
61,313,68,2017-06-16,HOU,,BOS,L 1-2,CG,4,3,0,2,0,0,0,0,0,0,1,0,.301,.376,.515,.891,2,1,0,0,0,0,2.05,-0.066,1.42,-0.03%,-0.60,3,SS
62,314,69,2017-06-17,HOU,,BOS,W 7-1,CG,4,3,1,1,0,0,0,0,0,0,1,0,.302,.378,.512,.891,1,0,0,0,0,0,0.39,0.027,0.29,0.01%,0.47,4,SS
63,315,70,2017-06-18,HOU,,BOS,L 5-6,CG,5,5,1,2,0,0,1,1,0,0,0,0,.304,.379,.522,.901,5,1,0,0,0,0,2.47,-0.152,1.64,-0.06%,-0.90,3,SS
64,316,71,2017-06-19,HOU,@,OAK,W 4-1,CG,4,3,0,0,0,0,0,0,0,0,1,1,.300,.377,.516,.893,0,0,0,0,0,0,0.80,-0.070,0.61,-0.03%,-0.69,4,SS
65,317,72,2017-06-20,HOU,@,OAK,W 8-4,CG,5,4,0,1,0,0,0,2,0,0,1,1,.299,.377,.512,.889,1,1,0,0,0,0,1.20,0.040,0.78,0.02%,0.17,4,SS
66,318,73,2017-06-21,HOU,@,OAK,W 5-1,CG,5,5,2,2,0,0,1,1,0,0,0,1,.301,.378,.521,.899,5,0,0,0,0,0,0.80,0.145,0.50,0.05%,1.98,3,SS
67,319,74,2017-06-22,HOU,@,OAK,W 12-9,CG,5,2,1,1,1,0,0,1,0,0,2,0,.303,.381,.525,.906,2,0,0,0,1,0,0.46,0.077,0.23,0.02%,1.54,3,SS
68,320,75,2017-06-23,HOU,@,SEA,L 3-13,CG,4,4,1,1,0,0,0,0,0,0,0,1,.302,.380,.521,.900,1,0,0,0,0,0,0.33,-0.011,0.19,0.00%,-0.52,4,SS
69,321,76,2017-06-24,HOU,@,SEA,W 5-2,CG,5,4,1,1,0,0,0,0,0,0,1,1,.301,.380,.517,.897,1,0,0,0,0,0,0.90,-0.002,0.59,0.00%,-0.14,4,SS
70,322,77,2017-06-25,HOU,@,SEA,W 8-2,CG,5,5,2,2,1,0,0,1,0,0,0,0,.303,.380,.518,.898,3,0,0,0,0,0,0.56,0.110,0.30,0.04%,0.35,3,SS
71,323,78,2017-06-27,HOU,,OAK,L 4-6,CG,5,3,0,1,0,0,0,0,0,0,2,2,.303,.384,.516,.900,1,0,0,0,0,0,1.78,0.210,0.76,0.05%,1.06,3,SS
72,324,79,2017-06-28,HOU,,OAK,W 11-8,CG,5,5,0,2,0,0,0,1,0,0,0,1,.305,.384,.514,.898,2,0,0,0,0,0,0.70,0.007,0.33,0.00%,-0.41,4,SS
73,325,80,2017-06-29,HOU,,OAK,W 6-1,CG,4,3,2,2,0,0,2,4,0,0,1,0,.309,.388,.537,.925,8,0,0,0,0,1,0.86,0.289,0.35,0.07%,3.06,4,SS
74,326,81,2017-06-30,HOU,,NYY,L 4-13,CG,4,4,1,1,0,0,0,0,0,0,0,0,.308,.387,.533,.920,1,0,0,0,0,0,0.81,0.084,0.28,0.02%,0.41,4,SS
75,327,82,2017-07-01,HOU,,NYY,W 7-6,CG,4,4,1,2,0,0,1,2,0,0,0,0,.311,.388,.543,.931,5,0,0,0,0,0,0.90,0.055,0.30,0.01%,1.06,3,SS
76,328,83,2017-07-02,HOU,,NYY,W 8-1,CG,5,5,0,4,2,0,0,3,0,0,0,1,.319,.394,.554,.948,6,0,0,0,0,0,0.56,0.113,0.18,0.02%,3.23,4,SS
77,329,84,2017-07-04,HOU,@,ATL,W 16-4,GS-4,3,2,1,1,0,0,0,0,0,0,1,0,.320,.397,.553,.950,1,1,0,0,0,0,1.07,-0.047,0.23,-0.01%,0.13,4,SS
78,330,86,2017-07-06,HOU,@,TOR,L 4-7,CG,5,4,0,1,0,0,0,0,0,0,1,0,.319,.397,.549,.946,1,0,0,0,0,0,0.71,-0.026,0.09,0.00%,-0.51,3,SS
79,331,87,2017-07-07,HOU,@,TOR,W 12-2,CG,5,5,2,2,1,0,1,2,0,0,0,1,.320,.397,.560,.956,6,1,0,0,0,0,0.42,0.179,0.08,0.02%,1.51,4,SS
80,332,88,2017-07-08,HOU,@,TOR,L 2-7,CG,4,3,0,0,0,0,0,0,0,0,1,1,.317,.395,.554,.949,0,0,0,0,0,0,0.69,-0.142,0.10,-0.01%,-1.80,3,SS
81,333,89,2017-07-09,HOU,@,TOR,W 19-1,CG,6,5,3,4,0,0,2,5,0,0,1,1,.325,.402,.577,.979,10,0,0,0,0,0,0.22,0.091,0.03,0.01%,4.08,3,SS
