Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,37,1,2017-04-03,HOU,,SEA,W 3-0,CG,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,1,0,0,0,0,0.52,-0.058,0.56,-0.04%,-0.86,7,1B
2,38,3,2017-04-05,HOU,,SEA,W 5-3 (13),CG(13),6,6,1,1,0,0,0,0,0,0,0,1,.111,.111,.111,.222,1,0,0,0,0,0,2.05,-0.218,2.39,-0.15%,-1.04,6,1B
3,39,4,2017-04-06,HOU,,SEA,L 2-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.077,.077,.077,.154,0,0,0,0,0,0,1.18,-0.124,1.44,-0.09%,-0.93,6,1B
4,40,5,2017-04-07,HOU,,KCR,L 1-5,GS-7,2,2,0,0,0,0,0,0,0,0,0,1,.067,.067,.067,.133,0,0,0,0,0,0,2.04,-0.099,2.08,-0.06%,-0.79,8,1B
5,41,6,2017-04-08,HOU,,KCR,L 3-7,GS-7,3,3,0,1,0,0,0,0,0,0,0,0,.111,.111,.111,.222,1,0,0,0,0,0,0.96,0.026,1.00,0.02%,0.40,6,1B
6,42,7,2017-04-09,HOU,,KCR,W 5-4 (12),7-GF(12),3,3,0,0,0,0,0,0,0,0,0,0,.095,.095,.095,.190,0,0,0,0,0,0,3.73,-0.271,3.55,-0.16%,-1.49,7,PH 1B
7,43,8,2017-04-10,HOU,@,SEA,L 0-6,CG,3,3,0,1,1,0,0,0,0,0,0,1,.125,.125,.167,.292,2,0,0,0,0,0,0.56,-0.035,0.62,-0.02%,0.29,9,1B
8,44,9,2017-04-11,HOU,@,SEA,W 7-5,CG,4,4,1,3,0,0,0,0,0,1,0,0,.214,.214,.250,.464,3,0,0,0,0,0,1.06,0.070,1.10,0.04%,0.32,8,1B
9,45,10,2017-04-12,HOU,@,SEA,W 10-5,CG,5,5,0,2,0,0,0,1,0,0,0,0,.242,.242,.273,.515,2,0,0,0,0,0,1.11,-0.094,1.23,-0.06%,-0.39,8,1B
10,46,12,2017-04-15,HOU,@,OAK,W 10-6,GS-6,2,2,0,0,0,0,0,0,0,0,0,1,.229,.229,.257,.486,0,0,0,0,0,0,0.78,-0.039,1.01,-0.03%,-0.40,7,1B
11,47,13,2017-04-17,HOU,,LAA,W 3-0,CG,3,2,0,1,0,0,0,0,0,0,1,0,.243,.263,.270,.533,1,0,0,0,0,0,0.48,0.025,0.64,0.02%,0.49,8,1B
12,48,14,2017-04-18,HOU,,LAA,L 2-5,CG,4,4,1,2,1,0,1,1,0,0,0,0,.268,.286,.390,.676,6,0,0,0,0,0,0.83,0.116,1.11,0.09%,0.98,8,1B
13,49,15,2017-04-19,HOU,,LAA,W 5-1,CG,3,2,1,1,0,0,0,1,0,0,0,1,.279,.311,.395,.706,1,0,1,0,0,0,0.80,0.126,1.06,0.10%,1.12,8,1B
14,50,17,2017-04-21,HOU,@,TBR,W 6-3,CG,4,4,1,3,2,0,0,1,0,0,0,0,.319,.347,.468,.815,5,0,0,0,0,0,1.34,0.383,1.67,0.29%,3.86,8,1B
15,51,18,2017-04-22,HOU,@,TBR,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.294,.321,.431,.752,0,1,0,0,0,0,0.77,-0.102,0.93,-0.07%,-1.23,7,1B
16,52,19,2017-04-23,HOU,@,TBR,W 6-4 (10),CG(10),5,5,1,3,0,0,0,1,0,0,0,0,.321,.345,.446,.791,3,1,0,0,0,0,1.87,0.196,2.24,0.14%,0.52,7,1B
17,53,20,2017-04-25,HOU,@,CLE,W 4-2,CG,4,4,1,2,1,0,0,0,0,0,0,0,.333,.355,.467,.822,3,0,0,0,0,0,0.88,0.157,1.09,0.12%,1.44,7,1B
18,54,21,2017-04-26,HOU,@,CLE,L 6-7,CG,4,4,0,2,0,0,0,0,0,0,0,0,.344,.364,.469,.832,2,0,0,0,0,0,0.82,0.002,1.02,0.00%,0.09,7,1B
19,55,22,2017-04-27,HOU,@,CLE,L 3-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.324,.343,.441,.784,0,0,0,0,0,0,1.78,-0.182,2.27,-0.14%,-1.70,6,1B
20,56,23,2017-04-28,HOU,,OAK,W 9-4,CG,4,4,2,3,1,0,1,2,0,0,0,0,.347,.365,.514,.879,7,0,0,0,0,0,1.04,0.249,1.43,0.21%,2.72,6,1B
21,57,24,2017-04-29,HOU,,OAK,L 1-2,CG,4,4,0,1,0,0,0,0,0,0,0,2,.342,.359,.500,.859,1,0,0,0,0,0,2.26,-0.093,3.14,-0.08%,-0.09,6,1B
22,58,25,2017-04-30,HOU,,OAK,W 7-2,CG,4,3,1,0,0,0,0,0,0,0,0,1,.329,.354,.481,.835,0,1,1,0,0,0,0.79,-0.037,1.11,-0.03%,-1.85,6,1B
23,59,26,2017-05-01,HOU,,TEX,W 6-2,CG,4,3,0,1,1,0,0,1,0,0,0,0,.329,.360,.488,.848,2,0,1,0,0,0,1.06,0.067,1.50,0.06%,1.40,6,1B
24,60,27,2017-05-02,HOU,,TEX,W 8-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,.314,.344,.465,.810,0,0,0,0,0,0,1.85,-0.180,2.55,-0.15%,-1.11,6,1B
25,61,29,2017-05-04,HOU,,TEX,L 4-10,CG,5,4,1,1,0,0,0,0,0,0,1,2,.311,.347,.456,.803,1,0,0,0,0,0,1.27,0.047,1.73,0.04%,-0.06,6,1B
26,62,30,2017-05-05,HOU,@,LAA,W 7-6 (10),CG(10),4,4,0,1,0,0,0,0,0,0,0,0,.309,.343,.447,.790,1,0,0,0,0,0,0.98,-0.089,1.49,-0.08%,-0.61,6,1B
27,63,31,2017-05-06,HOU,@,LAA,L 1-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.306,.340,.439,.779,1,0,0,0,0,0,1.46,-0.072,2.21,-0.07%,-0.39,6,1B
28,64,32,2017-05-07,HOU,@,LAA,W 5-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.294,.327,.422,.749,0,0,0,0,0,0,0.54,-0.058,0.82,-0.05%,-0.75,6,1B
29,65,33,2017-05-09,HOU,,ATL,W 8-3,CG,4,3,0,0,0,0,0,0,0,0,1,1,.286,.324,.410,.734,0,0,0,0,0,0,0.20,-0.024,0.26,-0.02%,-0.53,6,1B
30,66,34,2017-05-10,HOU,,ATL,W 4-2,CG,4,4,0,1,0,0,0,1,0,0,0,0,.284,.322,.404,.725,1,0,0,0,0,0,0.70,0.107,0.88,0.08%,0.79,6,1B
31,67,35,2017-05-11,HOU,@,NYY,W 3-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.274,.311,.389,.700,0,0,0,0,0,0,0.73,-0.077,0.92,-0.06%,-1.15,7,1B
32,68,37,2017-05-14 (1),HOU,@,NYY,L 6-11,CG,4,3,0,2,0,0,0,1,0,0,0,0,.284,.317,.397,.714,2,0,0,0,1,0,1.64,0.102,1.99,0.08%,1.14,7,1B
33,69,38,2017-05-14 (2),HOU,@,NYY,W 10-7,CG,4,3,1,1,0,0,0,0,0,0,0,0,.286,.323,.395,.718,1,0,1,0,0,0,0.39,0.013,0.47,0.01%,0.04,7,1B
34,70,39,2017-05-15,HOU,@,MIA,W 7-2,CG,4,4,1,2,1,0,1,4,0,0,0,0,.293,.328,.431,.759,6,0,0,0,0,0,1.61,0.455,1.89,0.32%,3.67,6,1B
35,71,40,2017-05-16,HOU,@,MIA,W 12-2,CG,5,5,1,1,0,0,0,0,0,0,0,0,.289,.324,.422,.745,1,0,0,0,0,0,0.42,-0.068,0.47,-0.05%,-1.25,6,1B
36,72,41,2017-05-17,HOU,@,MIA,W 3-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.280,.314,.409,.723,0,0,0,0,0,0,1.04,-0.110,1.12,-0.07%,-1.28,5,1B
37,73,42,2017-05-19,HOU,,CLE,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,.272,.306,.397,.703,0,0,0,0,0,0,0.90,-0.095,1.01,-0.06%,-0.73,7,1B
38,74,43,2017-05-20,HOU,,CLE,L 0-3,CG,3,3,0,0,0,0,0,0,0,0,0,2,.266,.299,.388,.688,0,0,0,0,0,0,1.25,-0.098,1.43,-0.07%,-0.84,7,1B
39,75,45,2017-05-22,HOU,,DET,W 1-0,GS-8,3,3,0,1,0,0,0,0,0,0,0,0,.268,.300,.387,.687,1,0,0,0,0,0,0.89,-0.001,1.14,0.00%,0.19,8,1B
