Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,357,1,2017-04-03,HOU,,SEA,W 3-0,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,,,,9,CF
2,358,2,2017-04-04,HOU,,SEA,W 2-1,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,,,,5,CF
3,359,3,2017-04-05,HOU,,SEA,W 5-3 (13),GS-7,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0.93,-0.047,1.09,-0.03%,-0.39,9,CF
4,360,4,2017-04-06,HOU,,SEA,L 2-4,GS-9,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0.71,-0.053,0.87,-0.04%,-0.50,8,CF
5,361,6,2017-04-08,HOU,,KCR,L 3-7,CG,3,2,0,1,0,0,0,0,0,1,1,0,.143,.250,.143,.393,1,0,0,0,0,0,0.94,0.001,0.99,0.00%,0.12,9,CF
6,362,7,2017-04-09,HOU,,KCR,W 5-4 (12),8-GF(12),2,2,1,1,0,0,1,1,0,0,0,1,.222,.300,.556,.856,4,0,0,0,0,0,2.46,0.405,2.34,0.23%,0.77,9,CF
7,363,9,2017-04-11,HOU,@,SEA,W 7-5,6-GF,1,0,1,0,0,0,0,0,0,0,1,0,.222,.364,.556,.919,0,0,0,0,0,0,0.11,0.004,0.11,0.00%,0.13,9,PR CF
8,364,10,2017-04-12,HOU,@,SEA,W 10-5,8-GF,1,1,1,0,0,0,0,0,0,0,0,0,.200,.333,.500,.833,0,0,0,0,0,0,0.45,0.026,0.50,0.02%,0.13,9,PR CF
9,365,11,2017-04-14,HOU,@,OAK,W 7-2,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.200,.333,.500,.833,0,,0,0,,,,,,,,9,CF
10,366,12,2017-04-15,HOU,@,OAK,W 10-6,CG,4,3,1,2,0,0,0,0,0,0,1,1,.308,.438,.538,.976,2,0,0,0,0,0,0.79,0.096,1.03,0.07%,0.78,9,CF
11,367,13,2017-04-17,HOU,,LAA,W 3-0,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.308,.438,.538,.976,0,,0,0,,,,,,,,9,CF
12,368,14,2017-04-18,HOU,,LAA,L 2-5,8-GF,1,0,0,0,0,0,0,0,0,0,1,0,.308,.471,.538,1.009,0,0,0,0,0,0,1.04,0.049,1.40,0.04%,0.38,2,PH CF
13,369,15,2017-04-19,HOU,,LAA,W 5-1,7-GF,0,0,0,0,0,0,0,0,0,0,0,0,.308,.471,.538,1.009,0,,0,0,,,,,,,,7,CF
14,370,16,2017-04-20,HOU,,LAA,W 2-1,CG,3,3,1,1,0,0,1,1,0,0,0,1,.313,.450,.688,1.138,4,0,0,0,0,0,0.80,0.060,1.10,0.05%,0.17,9,CF
15,371,17,2017-04-21,HOU,@,TBR,W 6-3,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.294,.429,.647,1.076,0,0,0,0,0,0,0.77,-0.031,0.95,-0.02%,-0.58,9,PR CF
16,372,18,2017-04-22,HOU,@,TBR,L 3-6,CG,3,3,0,1,0,0,0,0,0,0,0,2,.300,.417,.600,1.017,1,0,0,0,0,0,0.68,0.016,0.82,0.01%,0.34,9,CF
17,373,19,2017-04-23,HOU,@,TBR,W 6-4 (10),GS-3,1,1,0,0,0,0,0,0,0,0,0,1,.286,.400,.571,.971,0,0,0,0,0,0,2.23,-0.058,2.68,-0.04%,-0.78,9,CF
18,374,26,2017-05-01,HOU,,TEX,W 6-2,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.273,.385,.545,.930,0,0,0,0,0,0,0.07,-0.002,0.10,0.00%,-0.36,9,CF
19,375,27,2017-05-02,HOU,,TEX,W 8-7,GS-7,2,2,0,1,0,0,0,0,0,0,0,0,.292,.393,.542,.935,1,0,0,0,0,0,0.67,-0.007,0.92,-0.01%,-0.03,9,CF
20,376,28,2017-05-03,HOU,,TEX,W 10-1,8-GF,1,1,1,1,0,0,0,0,0,0,0,0,.320,.414,.560,.974,1,0,0,0,0,0,0.00,0.000,0.00,0.00%,0.26,1,CF
21,377,29,2017-05-04,HOU,,TEX,L 4-10,GS-6,2,2,0,0,0,0,0,0,0,0,0,1,.296,.387,.519,.906,0,0,0,0,0,0,0.81,-0.040,1.11,-0.03%,-0.45,9,CF
22,378,30,2017-05-05,HOU,@,LAA,W 7-6 (10),7-GF(10),1,1,0,0,0,0,0,0,0,0,0,1,.286,.375,.500,.875,0,0,0,0,0,0,0.07,-0.002,0.11,0.00%,-0.24,9,LF
23,379,32,2017-05-07,HOU,@,LAA,W 5-3,CG,3,3,0,0,0,0,0,0,1,0,0,2,.258,.343,.452,.794,0,0,0,0,0,0,0.90,-0.066,1.36,-0.06%,-0.80,9,LF
24,380,34,2017-05-10,HOU,,ATL,W 4-2,CG,3,2,1,1,0,0,0,0,1,0,1,0,.273,.368,.455,.823,1,0,0,0,0,0,0.78,0.071,0.98,0.05%,0.44,9,CF
25,381,35,2017-05-11,HOU,@,NYY,W 3-2,7-GF,1,1,0,1,0,0,0,0,1,0,0,0,.294,.385,.471,.855,1,0,0,0,0,0,0.36,0.017,0.45,0.01%,0.43,9,LF
26,382,36,2017-05-12,HOU,@,NYY,W 5-1,CG,4,4,0,0,0,0,0,0,0,0,0,4,.263,.349,.421,.770,0,0,0,0,0,0,0.36,-0.043,0.45,-0.03%,-0.99,9,LF
27,383,38,2017-05-14 (2),HOU,@,NYY,W 10-7,CG,4,4,0,0,0,0,0,0,0,0,0,2,.238,.319,.381,.700,0,0,0,0,0,0,0.06,-0.006,0.08,-0.01%,-0.60,9,LF
28,384,39,2017-05-15,HOU,@,MIA,W 7-2,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.233,.313,.372,.685,0,0,0,0,0,0,0.11,-0.003,0.13,0.00%,-0.43,7,PH CF
29,385,40,2017-05-16,HOU,@,MIA,W 12-2,CG,5,5,3,3,1,0,2,4,0,0,0,2,.271,.340,.542,.881,10,0,0,0,0,0,0.34,0.059,0.38,0.04%,3.09,8,CF
30,386,41,2017-05-17,HOU,@,MIA,W 3-0,CG,4,2,1,0,0,0,0,0,0,0,1,0,.260,.351,.520,.871,0,0,1,0,0,0,0.64,0.003,0.69,0.00%,-0.11,8,CF
31,387,45,2017-05-22,HOU,,DET,W 1-0,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.260,.351,.520,.871,0,,0,0,,,,,,,,8,CF
32,388,46,2017-05-23,HOU,,DET,W 6-2,CG,4,4,1,3,0,0,0,1,0,0,0,1,.296,.377,.537,.914,3,0,0,0,0,0,0.48,0.051,0.58,0.04%,1.57,9,CF
33,389,47,2017-05-24,HOU,,DET,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.276,.354,.500,.854,0,0,0,0,0,0,1.14,-0.124,1.29,-0.08%,-1.11,9,CF
34,390,48,2017-05-25,HOU,,DET,W 7-6,6-GF,1,1,1,1,0,0,1,1,1,0,0,0,.288,.364,.559,.923,4,0,0,0,0,0,0.94,0.302,1.10,0.21%,1.09,9,PR CF
35,391,49,2017-05-26,HOU,,BAL,W 2-0,CG,3,3,1,1,0,0,1,1,0,0,0,0,.290,.362,.597,.959,4,0,0,0,0,0,0.65,0.089,0.75,0.06%,0.53,9,CF
36,392,50,2017-05-27,HOU,,BAL,W 5-2,CG,4,3,0,0,0,0,0,0,1,0,0,2,.277,.356,.569,.925,0,0,1,0,0,0,0.45,-0.014,0.49,-0.01%,-0.10,9,CF
37,393,52,2017-05-29,HOU,@,MIN,W 16-8,8-GF,1,0,2,0,0,0,0,0,0,0,1,0,.277,.365,.569,.934,0,0,0,0,0,0,0.01,0.000,0.01,0.00%,0.39,9,PR CF
38,394,54,2017-05-31,HOU,@,MIN,W 17-6,CG,5,5,0,1,1,0,0,1,0,0,0,1,.271,.354,.557,.912,2,0,0,0,0,0,0.35,-0.047,0.29,-0.02%,0.69,9,CF
39,395,55,2017-06-02,HOU,@,TEX,W 7-1,7-GF,1,0,1,0,0,0,0,0,0,0,0,0,.271,.363,.557,.920,0,0,1,0,0,0,0.25,0.001,0.21,0.00%,0.12,9,LF
40,396,56,2017-06-03,HOU,@,TEX,W 6-5,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.268,.358,.549,.907,0,0,0,0,0,0,1.16,-0.047,0.83,-0.02%,-0.47,9,CF
41,397,57,2017-06-04,HOU,@,TEX,W 7-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.253,.341,.520,.861,0,1,0,0,0,0,0.46,-0.093,0.31,-0.04%,-1.93,9,CF
42,398,58,2017-06-05,HOU,@,KCR,W 7-3,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.250,.337,.513,.850,0,0,0,0,0,0,0.07,-0.002,0.03,0.00%,-0.25,9,CF
43,399,59,2017-06-06,HOU,@,KCR,L 7-9,7-GF,0,0,0,0,0,0,0,0,0,0,0,0,.250,.337,.513,.850,0,,0,0,,,,,,,,9,CF
44,400,60,2017-06-07,HOU,@,KCR,L 5-7,CG,4,4,1,1,0,0,0,1,0,0,0,1,.250,.333,.500,.833,1,0,0,0,0,0,0.89,-0.063,0.49,-0.02%,-0.05,9,CF
45,401,61,2017-06-08,HOU,@,KCR,W 6-1,8-GF,1,1,0,1,0,0,0,2,0,0,0,0,.259,.341,.506,.847,1,0,0,0,0,0,0.37,0.016,0.21,0.01%,1.33,9,CF
46,402,62,2017-06-09,HOU,,LAA,L 4-9,CG,3,3,0,1,0,0,0,1,0,0,0,2,.262,.340,.500,.840,1,0,0,0,0,0,1.02,0.015,0.64,0.01%,0.14,9,CF
47,403,63,2017-06-10,HOU,,LAA,W 3-1,7-GF,0,0,0,0,0,0,0,0,0,1,0,0,.262,.340,.500,.840,0,,0,0,,,0.39,-0.011,0.29,-0.01%,-0.23,8,PR CF
48,404,67,2017-06-14,HOU,,TEX,W 13-2,CG,5,4,2,1,0,0,1,1,0,0,0,2,.261,.343,.523,.866,4,0,1,0,0,0,0.55,-0.037,0.52,-0.02%,-0.21,9,CF
49,405,68,2017-06-16,HOU,,BOS,L 1-2,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,.256,.337,.511,.848,0,0,0,0,0,0,0.82,-0.041,0.57,-0.02%,-0.26,9,CF
50,406,70,2017-06-18,HOU,,BOS,L 5-6,GS-7,3,3,1,1,0,0,1,1,0,0,0,1,.258,.337,.538,.874,4,0,0,0,0,0,1.11,0.040,0.74,0.02%,0.47,9,CF
51,407,71,2017-06-19,HOU,@,OAK,W 4-1,CG,4,3,1,1,0,0,1,2,0,0,1,1,.260,.343,.563,.905,4,0,0,0,0,0,1.11,0.217,0.84,0.10%,1.26,9,CF
52,408,72,2017-06-20,HOU,@,OAK,W 8-4,CG,5,3,1,0,0,0,0,0,0,1,1,1,.253,.345,.545,.891,0,0,1,0,0,0,0.55,-0.021,0.35,-0.01%,-0.22,9,CF
53,409,73,2017-06-21,HOU,@,OAK,W 5-1,CG,4,3,0,1,0,0,0,2,0,0,0,1,.255,.342,.539,.881,1,0,0,0,1,0,1.40,0.036,0.87,0.01%,0.39,8,CF
54,410,74,2017-06-22,HOU,@,OAK,W 12-9,1-GF,4,4,2,1,0,0,1,3,0,0,0,3,.255,.339,.557,.895,4,0,0,0,0,0,0.31,0.119,0.15,0.04%,0.86,1,PR CF
55,411,76,2017-06-24,HOU,@,SEA,W 5-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.245,.328,.536,.864,0,1,0,0,0,0,1.02,-0.145,0.67,-0.06%,-1.63,9,CF
56,412,77,2017-06-25,HOU,@,SEA,W 8-2,CG,4,3,0,0,0,0,0,0,0,0,1,1,.239,.326,.522,.848,0,0,0,0,0,0,0.33,-0.032,0.18,-0.01%,-0.31,9,CF
