Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,787,1,2017-04-03,HOU,,SEA,W 3-0,CG,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,0,0,0,0,0,0.43,0.003,0.46,0.00%,-0.13,6,RF LF
2,788,2,2017-04-04,HOU,,SEA,W 2-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,0,0,0,0,0,0.72,-0.021,0.80,-0.01%,-0.08,6,RF LF
3,789,3,2017-04-05,HOU,,SEA,W 5-3 (13),CG(13),6,6,0,1,1,0,0,0,0,0,0,1,.250,.250,.333,.583,2,0,0,0,0,0,2.82,-0.208,3.30,-0.15%,-1.30,8,RF LF
4,790,4,2017-04-06,HOU,,SEA,L 2-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.231,.231,.308,.538,0,0,0,0,0,0,1.18,-0.029,1.44,-0.02%,-0.16,8,PH
5,791,5,2017-04-07,HOU,,KCR,L 1-5,CG,3,3,0,1,0,0,0,0,0,0,0,1,.250,.250,.313,.563,1,0,0,0,0,0,2.10,-0.071,2.14,-0.04%,-0.45,7,RF
6,792,6,2017-04-08,HOU,,KCR,L 3-7,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.235,.235,.294,.529,0,0,0,0,0,0,0.45,-0.011,0.47,-0.01%,-0.48,6,LF
7,793,7,2017-04-09,HOU,,KCR,W 5-4 (12),GS-7,2,1,0,1,0,0,0,0,0,1,1,0,.278,.316,.333,.649,1,0,0,0,0,0,1.08,0.056,1.03,0.03%,0.41,7,RF
8,794,8,2017-04-10,HOU,@,SEA,L 0-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.227,.261,.273,.534,0,0,0,0,0,0,0.72,-0.070,0.79,-0.05%,-1.00,8,RF
9,795,9,2017-04-11,HOU,@,SEA,W 7-5,GS-6,2,2,1,2,0,0,0,0,0,0,0,0,.292,.320,.333,.653,2,0,0,0,0,0,1.28,0.095,1.32,0.06%,0.87,9,RF
10,796,10,2017-04-12,HOU,@,SEA,W 10-5,CG,5,3,3,2,0,0,0,2,0,0,1,0,.333,.367,.370,.737,2,0,0,0,1,0,0.84,0.109,0.93,0.07%,0.76,2,RF LF
11,797,11,2017-04-14,HOU,@,OAK,W 7-2,CG,5,5,0,0,0,0,0,0,0,0,0,0,.281,.314,.313,.627,0,0,0,0,0,0,0.79,-0.123,0.97,-0.09%,-1.19,2,RF LF
12,798,12,2017-04-15,HOU,@,OAK,W 10-6,8-GF,1,1,1,0,0,0,0,0,1,0,0,0,.273,.306,.303,.609,0,0,0,0,0,0,2.55,0.213,3.31,0.17%,0.47,5,PR 1B DH
13,799,13,2017-04-17,HOU,,LAA,W 3-0,CG,4,4,1,3,1,0,0,0,0,0,0,1,.324,.350,.378,.728,4,0,0,0,0,0,0.61,0.091,0.82,0.07%,1.55,2,RF LF
14,800,14,2017-04-18,HOU,,LAA,L 2-5,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,.300,.326,.350,.676,0,1,0,0,0,0,1.20,-0.132,1.61,-0.11%,-1.23,2,RF
15,801,15,2017-04-19,HOU,,LAA,W 5-1,CG,4,4,3,3,1,1,1,2,0,0,0,1,.341,.362,.523,.884,9,0,0,0,0,0,0.63,0.198,0.83,0.16%,2.98,2,RF LF
16,802,16,2017-04-20,HOU,,LAA,W 2-1,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.341,.362,.523,.884,0,,0,0,,,,,,,,2,LF
