Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,343,1,2017-04-03,HOU,,SEA,W 3-0,CG,4,3,1,1,0,0,1,1,0,0,0,1,.333,.333,1.333,1.667,4,0,0,0,0,0,0.59,0.121,0.63,0.08%,1.05,1,CF RF
2,344,2,2017-04-04,HOU,,SEA,W 2-1,CG,4,3,0,1,0,0,0,0,0,2,1,1,.333,.429,.833,1.262,1,0,0,0,0,0,0.76,-0.006,0.84,0.00%,-0.11,1,CF RF
3,345,3,2017-04-05,HOU,,SEA,W 5-3 (13),CG(13),7,7,1,2,1,0,1,5,0,0,0,1,.308,.357,.846,1.203,6,1,0,0,0,0,3.11,0.781,3.63,0.55%,3.07,1,CF RF
4,346,4,2017-04-06,HOU,,SEA,L 2-4,CG,4,3,1,1,0,0,1,1,0,0,1,0,.313,.389,.938,1.326,4,0,0,0,0,0,1.50,-0.013,1.83,-0.01%,0.40,1,RF
5,347,5,2017-04-07,HOU,,KCR,L 1-5,CG,4,3,0,0,0,0,0,0,0,0,1,2,.263,.364,.789,1.153,0,0,0,0,0,0,0.90,-0.034,0.92,-0.02%,-0.25,1,CF
6,348,6,2017-04-08,HOU,,KCR,L 3-7,CG,4,3,0,0,0,0,0,0,0,0,0,0,.227,.346,.682,1.028,0,0,1,0,0,0,1.09,-0.102,1.14,-0.06%,-1.24,1,RF
7,349,7,2017-04-09,HOU,,KCR,W 5-4 (12),CG(12),6,6,2,2,0,0,1,1,0,0,0,2,.250,.344,.714,1.058,5,0,0,0,0,0,1.42,0.035,1.35,0.02%,0.60,1,CF RF
8,350,8,2017-04-10,HOU,@,SEA,L 0-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.219,.306,.625,.931,0,0,0,0,0,0,0.79,-0.080,0.87,-0.05%,-1.15,1,CF
9,351,9,2017-04-11,HOU,@,SEA,W 7-5,CG,5,5,1,2,0,0,1,1,0,0,0,1,.243,.317,.676,.993,5,0,0,0,0,0,1.12,0.017,1.16,0.01%,0.16,1,CF RF
10,352,10,2017-04-12,HOU,@,SEA,W 10-5,CG,6,6,1,1,0,0,0,0,0,0,0,0,.233,.298,.605,.903,1,1,0,0,0,0,0.86,-0.074,0.95,-0.05%,-0.67,1,CF RF
